Source,Target,Weight
刘备,关羽,697
刘备,张飞,903
刘备,董卓,69
刘备,曹操,1200
刘备,袁绍,380
刘备,吕布,613
刘备,赵云,443
刘备,孙策,31
刘备,周瑜,353
刘备,孙权,287
刘备,张辽,106
刘备,刘表,255
刘备,夏侯,161
刘备,徐晃,54
刘备,刘禅,13
刘备,诸葛亮,717
刘备,司马懿,20
刘备,魏延,257
刘备,鲁肃,129
刘备,黄忠,279
刘备,马超,139
刘备,庞德,10
关羽,刘备,697
关羽,张飞,271
关羽,董卓,19
关羽,曹操,639
关羽,袁绍,216
关羽,吕布,50
关羽,赵云,53
关羽,张辽,123
关羽,夏侯,107
关羽,徐晃,63
关羽,刘表,37
关羽,诸葛亮,92
关羽,周瑜,17
关羽,黄忠,82
关羽,魏延,18
关羽,孙权,89
关羽,马超,11
关羽,鲁肃,31
关羽,庞德,344
张飞,刘备,903
张飞,关羽,271
张飞,董卓,26
张飞,曹操,298
张飞,袁绍,26
张飞,吕布,205
张飞,赵云,143
张飞,张辽,51
张飞,徐晃,13
张飞,夏侯,67
张飞,孙权,24
张飞,诸葛亮,294
张飞,魏延,323
张飞,周瑜,19
张飞,黄忠,120
张飞,马超,455
曹操,刘备,1200
曹操,张飞,298
曹操,关羽,639
曹操,董卓,57
曹操,袁绍,406
曹操,吕布,358
曹操,夏侯,268
曹操,张辽,231
曹操,徐晃,234
曹操,孙策,123
曹操,周瑜,237
曹操,孙权,412
曹操,刘表,214
曹操,赵云,173
曹操,鲁肃,180
曹操,刘禅,29
曹操,诸葛亮,593
曹操,司马懿,17
曹操,马超,349
曹操,庞德,218
曹操,黄忠,90
曹操,魏延,45
董卓,刘备,69
董卓,张飞,26
董卓,关羽,19
董卓,曹操,57
董卓,吕布,244
董卓,袁绍,43
袁绍,曹操,406
袁绍,董卓,43
袁绍,吕布,80
袁绍,刘备,380
袁绍,关羽,216
袁绍,张飞,26
袁绍,夏侯,61
袁绍,刘表,80
袁绍,赵云,50
袁绍,孙策,21
袁绍,张辽,51
袁绍,徐晃,36
袁绍,孙权,31
袁绍,诸葛亮,42
吕布,董卓,244
吕布,袁绍,80
吕布,曹操,358
吕布,刘备,613
吕布,关羽,50
吕布,张飞,205
吕布,夏侯,113
吕布,张辽,79
吕布,刘表,36
吕布,孙策,13
吕布,徐晃,21
吕布,诸葛亮,21
夏侯,曹操,268
夏侯,袁绍,61
夏侯,吕布,113
夏侯,张辽,49
夏侯,徐晃,25
夏侯,刘备,161
夏侯,刘表,31
夏侯,张飞,67
夏侯,关羽,107
夏侯,赵云,297
夏侯,司马懿,11
夏侯,诸葛亮,293
夏侯,黄忠,32
夏侯,魏延,42
夏侯,马超,21
夏侯,刘禅,28
夏侯,姜维,34
刘表,袁绍,80
刘表,孙策,34
刘表,曹操,214
刘表,吕布,36
刘表,刘备,255
刘表,夏侯,31
刘表,关羽,37
刘表,赵云,20
刘表,周瑜,12
刘表,孙权,39
刘表,鲁肃,12
刘表,诸葛亮,64
赵云,袁绍,50
赵云,刘备,443
赵云,关羽,53
赵云,张飞,143
赵云,刘表,20
赵云,曹操,173
赵云,夏侯,297
赵云,徐晃,100
赵云,孙权,28
赵云,诸葛亮,359
赵云,刘禅,31
赵云,周瑜,62
